date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:52	48202/48202	---M-Z	200	added ('OK')	application/javascript	etag:%22bc4a-5df2e8153eee3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/dropzone/min/dropzone.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/dropzone/min/dropzone.min.js	(from https://themesdesign.in/symox-node/layouts/ecommerce-add-product.html)
13:19:52	274/274	---M-Z	200	added ('OK')	application/javascript	etag:%22112-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/ecommerce-choices.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/ecommerce-choices.init.js	(from https://themesdesign.in/symox-node/layouts/ecommerce-add-product.html)
13:19:53	16081/16081	---M-Z	200	added ('OK')	text/css	etag:%223ed1-5df2e81547b83-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/flatpickr/flatpickr.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/flatpickr/flatpickr.min.css	(from https://themesdesign.in/symox-node/layouts/invoices-list.html)
13:19:53	49670/49670	---M-Z	200	added ('OK')	application/javascript	etag:%22c206-5df2e81547b83-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/flatpickr/flatpickr.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/flatpickr/flatpickr.min.js	(from https://themesdesign.in/symox-node/layouts/invoices-list.html)
13:19:53	799/799	---M-Z	200	added ('OK')	application/javascript	etag:%2231f-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/invoice-list.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/invoice-list.init.js	(from https://themesdesign.in/symox-node/layouts/invoices-list.html)
13:19:54	965/965	---M--	200	added ('OK')	image/png	etag:%223c5-5df2e81504562%22	https://themesdesign.in/symox-node/layouts/assets/images/logo-sm.png	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/logo-sm.png	(from https://themesdesign.in/symox-node/layouts/invoices-detail.html)
13:19:54	7763/7763	---M--	200	added ('OK')	image/jpeg	etag:%221e53-5df2e8151cc02%22	https://themesdesign.in/symox-node/layouts/assets/images/users/avatar-9.jpg	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/users/avatar-9.jpg	(from https://themesdesign.in/symox-node/layouts/contacts-grid.html)
13:19:54	514/514	---M-Z	200	added ('OK')	application/javascript	etag:%22202-5df2e81520a82-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/two-step-verification.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/two-step-verification.init.js	(from https://themesdesign.in/symox-node/layouts/auth-two-step-verification.html)
13:19:55	88246/88246	---M--	200	added ('OK')	image/jpeg	etag:%22158b6-5df2e815006e2%22	https://themesdesign.in/symox-node/layouts/assets/images/auth-bg.jpg	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/auth-bg.jpg	(from https://themesdesign.in/symox-node/layouts/pages-maintenance.html)
13:19:56	867/867	---M-Z	200	added ('OK')	application/javascript	etag:%22363-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/coming-soon.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/coming-soon.init.js	(from https://themesdesign.in/symox-node/layouts/pages-comingsoon.html)
13:19:56	222533/222533	---M--	200	added ('OK')	image/png	etag:%2236545-5df2e81505502%22	https://themesdesign.in/symox-node/layouts/assets/images/maintenance.png	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/maintenance.png	(from https://themesdesign.in/symox-node/layouts/pages-maintenance.html)
13:19:56	13872/13872	---M-Z	200	added ('OK')	text/css	etag:%223630-5df2e815834a3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/swiper/swiper-bundle.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/swiper/swiper-bundle.min.css	(from https://themesdesign.in/symox-node/layouts/pages-timeline.html)
13:19:57	236215/236215	---M--	200	added ('OK')	image/png	etag:%2239ab7-5df2e81501682%22	https://themesdesign.in/symox-node/layouts/assets/images/coming-soon-img.png	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/coming-soon-img.png	(from https://themesdesign.in/symox-node/layouts/pages-comingsoon.html)
13:19:57	39688/39688	---M--	200	added ('OK')	image/jpeg	etag:%229b08-5df2e8151bc62%22	https://themesdesign.in/symox-node/layouts/assets/images/small/img-5.jpg	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/images/small/img-5.jpg	(from https://themesdesign.in/symox-node/layouts/pages-timeline.html)
13:19:57	141834/141834	---M-Z	200	added ('OK')	application/javascript	etag:%2222a0a-5df2e815834a3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/swiper/swiper-bundle.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/swiper/swiper-bundle.min.js	(from https://themesdesign.in/symox-node/layouts/pages-timeline.html)
